PhraseId,SentenceId,Phrase,Sentiment
971,36,"They 're the unnamed , easily substitutable forces that serve as whatever terror the heroes of horror movies try to avoid .",1
1003,37,It almost feels as if the movie is more interested in entertaining itself than in amusing us .,1
1024,38,The movie 's progression into rambling incoherence gives new meaning to the phrase ` fatal script error . ',0
1051,39,"Do n't judge this one too soon - it 's a dark , gritty story but it takes off in totally unexpected directions and keeps on going .",3
1088,40,So could young romantics out on a date .,3
1100,41,"Tartakovsky 's team has some freakish powers of visual charm , but the five writers slip into the modern rut of narrative banality .",0
1135,42,Vincent Gallo is right at home in this French shocker playing his usual bad boy weirdo role .,3
1165,43,"If a horror movie 's primary goal is to frighten and disturb , then They works spectacularly well ... A shiver-inducing , nerve-rattling ride .",4
1199,44,This 100-minute movie only has about 25 minutes of decent material .,1
1216,45,"Fortunately , you still have that option .",2
1225,46,Less the sensational true-crime hell-jaunt purists might like and more experimental in its storytelling -LRB- though no less horrifying for it -RRB- .,3
1258,47,As tricky and satisfying as any of David Mamet 's airless cinematic shell games .,3
1281,48,"I 'm sure the filmmaker would disagree , but , honestly , I do n't see the point .",1
1305,49,Jones has tackled a meaty subject and drawn engaging characters while peppering the pages with memorable zingers .,4
1333,50,"Bloody Sunday has the grace to call for prevention rather than to place blame , making it one of the best war movies ever made .",4
1369,51,"Takes a clunky TV-movie approach to detailing a chapter in the life of the celebrated Irish playwright , poet and drinker .",1
1401,52,"Finally coming down off of Miramax 's deep shelves after a couple of aborted attempts , Waking Up in Reno makes a strong case for letting sleeping dogs lie .",2
1446,53,"Thanks largely to Williams , all the interesting developments are processed in 60 minutes -- the rest is just an overexposed waste of film .",0
1480,54,"Comes across as a relic from a bygone era , and its convolutions ... feel silly rather than plausible .",0
1506,55,"Perhaps it 's cliche to call the film ` refreshing , ' but it is .",4
1523,56,Both lead performances are Oscar-size .,4
1531,57,Run for your lives !,0
1539,58,Mark Pellington 's latest pop thriller is as kooky and overeager as it is spooky and subtly in love with myth .,3
1569,59,"Claude Chabrol 's camera has a way of gently swaying back and forth as it cradles its characters , veiling tension beneath otherwise tender movements .",3
1609,60,Transforms one of -LRB- Shakespeare 's -RRB- deepest tragedies into a smart new comedy .,3
1628,61,"The screenplay by James Eric , James Horton and director Peter O'Fallon ... is so pat it makes your teeth hurt .",1
1659,62,"But arriving at a particularly dark moment in history , it offers flickering reminders of the ties that bind us .",3
1687,63,Its generic villains lack any intrigue -LRB- other than their funny accents -RRB- and the action scenes are poorly delivered .,1
1716,64,The characters are more deeply thought through than in most ` right-thinking ' films .,3
1735,65,"The film , despite the gratuitous cinematic distractions impressed upon it , is still good fun .",3
1755,66,Downright transparent is the script 's endless assault of embarrassingly ham-fisted sex jokes that reek of a script rewrite designed to garner the film a `` cooler '' PG-13 rating .,0
1799,67,"A smart , provocative drama that does the nearly impossible : It gets under the skin of a man we only know as an evil , monstrous lunatic .",4
1840,68,It 's like a drive-by .,1
1846,69,"is many things -- stoner midnight flick , sci-fi deconstruction , gay fantasia -- but above all it 's a love story as sanguine as its title .",3
1883,70,A very funny romantic comedy about two skittish New York middle-agers who stumble into a relationship and then struggle furiously with their fears and foibles .,3
1918,71,"But it has an ambition to say something about its subjects , but not a willingness .",1
1938,72,-LRB- Scherfig -RRB- has made a movie that will leave you wondering about the characters ' lives after the clever credits roll .,3
1966,73,-LRB- An -RRB- absorbing documentary .,3
1973,74,Reeks of rot and hack work from start to finish .,2
1984,75,Plays like a series of vignettes -- clips of a film that are still looking for a common through-line .,1
2006,76," ",1
2013,77,The major problem with Windtalkers is that the bulk of the movie centers on the wrong character .,1
2034,78,"Swimfan , like Fatal Attraction , eventually goes overboard with a loony melodramatic denouement in which a high school swimming pool substitutes for a bathtub .",2
2071,79,This is a heartfelt story ... it just is n't a very involving one .,1
2087,80,"An unsettling , memorable cinematic experience that does its predecessors proud .",4
2102,81,"All in all , it 's a pretty good execution of a story that 's a lot richer than the ones Hollywood action screenwriters usually come up with on their own .",3
2142,82,"Phillip Noyce and all of his actors -- as well as his cinematographer , Christopher Doyle -- understand the delicate forcefulness of Greene 's prose , and it 's there on the screen in their version of The Quiet American .",3
2195,83,The Pianist lacks the quick emotional connections of Steven Spielberg 's Schindler 's List .,2
2218,84,"Inventive , fun , intoxicatingly sexy , violent , self-indulgent and maddening .",3
2235,85,"Tells a fascinating , compelling story .",4
2244,86,"Written , flatly , by David Kendall and directed , barely , by There 's Something About Mary co-writer Ed Decter .",1
2274,87,"Highly recommended viewing for its courage , ideas , technical proficiency and great acting .",4
2297,88,"In IMAX in short , it 's just as wonderful on the big screen .",4
2315,89,It shows us a slice of life that 's very different from our own and yet instantly recognizable .,3
2338,90,"Amid the shock and curiosity factors , the film is just a corny examination of a young actress trying to find her way .",1
2369,91,It 's lazy for a movie to avoid solving one problem by trying to distract us with the solution to another .,2
2394,92,"... it 's as comprehensible as any Dummies guide , something even non-techies can enjoy .",3
2414,93,"Entertains not so much because of its music or comic antics , but through the perverse pleasure of watching Disney scrape the bottom of its own cracker barrel .",1
2453,94,"Writer\/director Burr Steers emphasizes the Q in Quirky , with mixed results .",3
2473,95,Scarcely worth a mention apart from reporting on the number of tumbleweeds blowing through the empty theatres graced with its company .,0
2504,96,"Invigorating , surreal , and resonant with a rainbow of emotion .",4
2520,97,"`` Analyze That '' is one of those crass , contrived sequels that not only fails on its own , but makes you second-guess your affection for the original .",0
2556,98,Report card : Does n't live up to the exalted tagline - there 's definite room for improvement .,1
2581,99,"It 's not a particularly good film , but neither is it a monsterous one .",2
2598,100,Tsai may be ploughing the same furrow once too often .,2
2614,101,"-LRB- Green is -RRB- the comedy equivalent of Saddam Hussein , and I 'm just about ready to go to the U.N. and ask permission for a preemptive strike .",1
2654,102,A surprisingly ` solid ' achievement by director Malcolm D. Lee and writer John Ridley .,3
2678,103,"Massoud 's story is an epic , but also a tragedy , the record of a tenacious , humane fighter who was also the prisoner -LRB- and ultimately the victim -RRB- of history .",2
2719,104,Changing Lanes tries for more .,3
2727,105,Shyamalan should stop trying to please his mom .,1
2739,106,A macabre and very stylized Swedish fillm about a modern city where all the religious and civic virtues that hold society in place are in tatters .,3
2777,107,"One of recent memory 's most thoughtful films about art , ethics , and the cost of moral compromise .",4
2804,108,The narrative is so consistently unimaginative that probably the only way to have saved the film is with the aid of those wisecracking Mystery Science Theater 3000 guys .,2
2841,109,Filmmaker Tian Zhuangzhuang triumphantly returns to narrative filmmaking with a visually masterful work of quiet power .,4
2865,110,A mawkish self-parody that plays like some weird Masterpiece Theater sketch with neither a point of view nor a compelling reason for being .,1
2895,111,"Takes one character we do n't like and another we do n't believe , and puts them into a battle of wills that is impossible to care about and is n't very funny .",2
2930,112,"And if you appreciate the one-sided theme to Lawrence 's over-indulgent tirade , then knock yourself out and enjoy the big screen postcard that is a self-glorified Martin Lawrence lovefest .",1
2972,113,The whole film has this sneaky feel to it -- as if the director is trying to dupe the viewer into taking it all as Very Important simply because the movie is ugly to look at and not a Hollywood product .,0
3022,114,"Whenever it threatens to get bogged down in earnest dramaturgy , a stirring visual sequence like a surge through swirling rapids or a leap from pinnacle to pinnacle rouses us .",3
3065,115,"Swinging , the film makes it seem , is not a hobby that attracts the young and fit .",1
3087,116,"But when it does , you 're entirely unprepared .",2
3099,117,Devos delivers a perfect performance that captures the innocence and budding demons within a wallflower .,3
3123,118,"300 years of Russian history and culture compressed into an evanescent , seamless and sumptuous stream of consciousness .",4
3151,119,"The filmmakers want nothing else than to show us a good time , and in their cheap , B movie way , they succeed .",3
3181,120,"Mr. Polanski is in his element here : alone , abandoned , but still consoled by his art , which is more than he has ever revealed before about the source of his spiritual survival .",3
3226,121,"`` Spider-man is better than any summer blockbuster we had to endure last summer , and hopefully , sets the tone for a summer of good stuff .",4
3263,122,Absorbing character,2
3265,123,"Violent , vulgar and forgettably entertaining .",1
3273,124,It 's the unsettling images of a war-ravaged land that prove more potent and riveting than the unlikely story of Sarah and Harrison .,2
3305,125,"Winds up being both revelatory and narcissistic , achieving some honest insight into relationships that most high-concept films candy-coat with pat storylines , precious circumstances and beautiful stars .",3
3347,126,"If Mostly Martha is mostly unsurprising , it 's still a sweet , even delectable diversion .",3
3368,127,"A thoughtful and surprisingly affecting portrait of a screwed-up man who dared to mess with some powerful people , seen through the eyes of the idealistic kid who chooses to champion his ultimately losing cause .",4
3417,128,"Keenly observed and refreshingly natural , Swimming gets the details right , from its promenade of barely clad bodies in Myrtle Beach , S.C. , to the adrenaline jolt of a sudden lunch rush at the diner .",3
3471,129,A brilliant gag at the expense of those who paid for it and those who pay to see it .,2
3493,130,"A triumph , a film that hews out a world and carries us effortlessly from darkness to light .",4
3516,131,Just about everyone involved here seems to be coasting .,1
3529,132,"A fascinating , dark thriller that keeps you hooked on the delicious pulpiness of its lurid fiction .",3
3551,133,I suspect this is the kind of production that would have been funnier if the director had released the outtakes theatrically and used the film as a bonus feature on the DVD .,1
3591,134,"It 's hard to say who might enjoy this , are there Tolstoy groupies out there ?",1
3610,135,Daughter From Danang reveals that efforts toward closure only open new wounds .,1
3630,136,One of the year 's most weirdly engaging and unpredictable character pieces .,4
3643,137,Intriguing and downright intoxicating .,4
3649,138,"Although fairly involving as far as it goes , the film does n't end up having much that is fresh to say about growing up Catholic or , really , anything .",1
3687,139,"The movie is silly beyond comprehension , and even if it were n't silly , it would still be beyond comprehension .",0
3708,140,Sleek and arty .,3
3713,141,"Poor editing , bad bluescreen , and ultra-cheesy dialogue highlight the radical action .",0
3732,142,"-LRB- Cho 's face is -RRB- an amazing slapstick instrument , creating a scrapbook of living mug shots .",3
3760,143,It gets the details of its time frame right but it completely misses its emotions .,1
3778,144,Initial strangeness inexorably gives way to rote sentimentality and mystical tenderness becomes narrative expedience .,2
3800,145,"It lets you brush up against the humanity of a psycho , without making him any less psycho .",3
3824,146,"Like the world of his film , Hartley created a monster but did n't know how to handle it .",1
3848,147,"When cowering and begging at the feet a scruffy Giannini , Madonna gives her best performance since Abel Ferrara had her beaten to a pulp in his Dangerous Game .",4
3890,148,Too clumsy in key moments ... to make a big splash .,1
3905,149,"Because Eight Legged Freaks is partly an homage to Them , Tarantula and other low - budget B-movie thrillers of the 1950s and '60s , the movie is a silly -LRB- but not sophomoric -RRB- romp through horror and hellish conditions .",2
3961,150,"It feels like very light Errol Morris , focusing on eccentricity but failing , ultimately , to make something bigger out of its scrapbook of oddballs .",1
3994,151,Spielberg 's realization of a near-future America is masterful .,4
4004,152,"There 's a scientific law to be discerned here that producers would be well to heed : Mediocre movies start to drag as soon as the action speeds up ; when the explosions start , they fall to pieces .",0
4054,153,He 's one of the few ` cool ' actors who never seems aware of his own coolness .,3
4077,154,"Feels like the work of an artist who is simply tired -- of fighting the same fights , of putting the weight of the world on his shoulders , of playing with narrative form .",1
4118,155,... stale and uninspired .,1
4124,156,"In the director 's cut , the film is not only a love song to the movies but it also is more fully an example of the kind of lush , all-enveloping movie experience it rhapsodizes .",3
4164,157,Has the rare capability to soothe and break your heart with a single stroke .,3
4185,158,Eerily accurate depiction of depression .,1
4194,159,"As a feature-length film , it wears out its welcome as tryingly as the title character .",1
4213,160,"An uncluttered , resonant gem that relays its universal points without lectures or confrontations . '",3
4235,161,The story alone could force you to scratch a hole in your head .,1
4252,162,It 's the filmmakers ' post-camp comprehension of what made old-time B movies good-bad that makes Eight Legged Freaks a perfectly entertaining summer diversion .,3
4278,163,"As any creature-feature fan knows , when you cross toxic chemicals with a bunch of exotic creatures , you get a lot of running around , screaming and death .",2
4319,164,You bet there is and it 's what makes this rather convoluted journey worth taking .,2
4337,165,"Before it takes a sudden turn and devolves into a bizarre sort of romantic comedy , Steven Shainberg 's adaptation of Mary Gaitskill 's harrowing short story ... is a brilliantly played , deeply unsettling experience .",3
4382,166,Kim Ki-Deok seems to have in mind an -LRB- emotionally at least -RRB- adolescent audience demanding regular shocks and bouts of barely defensible sexual violence to keep it interested .,1
4426,167,"Has no reason to exist , other than to employ Hollywood kids and people who owe favors to their famous parents .",0
4454,168,A well-made but emotionally scattered film whose hero gives his heart only to the dog .,2
4474,169,"Those who love Cinema Paradiso will find the new scenes interesting , but few will find the movie improved .",2
4495,170,Campanella gets the tone just right -- funny in the middle of sad in the middle of hopeful .,3
4515,171,Nothing more than an amiable but unfocused bagatelle that plays like a loosely-connected string of acting-workshop exercises .,0
4539,172,It 's a sharp movie about otherwise dull subjects .,3
4550,173,"Wallace gets a bit heavy handed with his message at times , and has a visual flair that waxes poetic far too much for our taste .",2
4585,174,Charming and funny -LRB- but ultimately silly -RRB- movie .,2
4595,175,"... the one thing this Wild film has that other Imax films do n't : chimps , lots of chimps , all blown up to the size of a house .",2
4628,176,"Starts out mediocre , spirals downward , and thuds to the bottom of the pool with an utterly incompetent conclusion .",0
4654,177,This is a children 's film in the truest sense .,3
4666,178,Horrendously amateurish filmmaking that is plainly dull and visually ugly when it is n't incomprehensible .,0
4684,179,"Beautifully crafted , engaging filmmaking that should attract upscale audiences hungry for quality and a nostalgic , twisty yarn that will keep them guessing .",4
4719,180,An awkwardly contrived exercise in magic realism .,1
4729,181,"The punch lines that miss , unfortunately , outnumber the hits by three-to-one .",1
4749,182,"Like Smoke Signals , the film is also imbued with strong themes of familial ties and spirituality that are powerful and moving without stooping to base melodrama",3
4783,183,Evokes the style and flash of the double-cross that made Mamet 's `` House of Games '' and last fall 's `` Heist '' so much fun .,3
4813,184,"The film aims to be funny , uplifting and moving , sometimes all at once .",3
4828,185,"At a brief 42 minutes , we need more X and less blab .",2
4846,186,The Spalding Gray equivalent of a teen gross-out comedy .,2
4859,187,There 's a great deal of corny dialogue and preposterous moments .,1
4872,188,Uneven but a lot of fun .,3
4878,189,The result might look like Vulgar .,2
4885,190,The film rehashes several old themes and is capped with pointless extremes -- it 's insanely violent and very graphic .,0
4912,191,The dragons are the real stars of Reign of Fire and you wo n't be disappointed .,3
4934,192,It never plays as dramatic even when dramatic things happen to people .,1
4948,193,Manages to please its intended audience -- children -- without placing their parents in a coma-like state .,3
4970,194,The movie generates plot points with a degree of randomness usually achieved only by lottery drawing .,1
4991,195,"Though the film never veers from its comic course , its unintentional parallels might inadvertently evoke memories and emotions which are anything but humorous .",2
5022,196,The film can depress you about life itself .,1
5030,197,"If you saw it on TV , you 'd probably turn it off , convinced that you had already seen that movie .",1
5056,198,You get the impression that writer and director Burr Steers knows the territory ... but his sense of humor has yet to lose the smug self-satisfaction usually associated with the better private schools .,1
5097,199,This is a superior horror flick .,4
5104,200,The movie 's heavy-handed screenplay navigates a fast fade into pomposity and pretentiousness .,2
5121,201,A little weak -- and it is n't that funny .,1
5131,202,But they do n't fit well together and neither is well told .,1
5144,203,Being latently gay and liking to read are hardly enough .,2
5159,204,More sophisticated and literate than such pictures usually are ... an amusing little catch .,3
5178,205,Storytelling feels slight .,1
5182,206,Monte Cristo smartly emphasizes the well-wrought story and omits needless chase scenes and swordfights as the revenge unfolds .,4
5210,207,It 's a fairy tale that comes from a renowned Indian film culture that allows Americans to finally revel in its splendor .,4
5240,208,Well-done supernatural thriller with keen insights into parapsychological phenomena and the soulful nuances of the grieving process .,3
5267,209,"... only Bond can save us from the latest eccentric , super-wealthy megalomaniac bent on world domination and destruction .",2
5294,210,"It is depressing , ruthlessly pained and depraved , the movie equivalent of staring into an open wound .",0
5318,211,Damon brings the proper conviction to his role as -LRB- Jason Bourne -RRB- .,3
5337,212,Parents beware ; this is downright movie penance .,1
5347,213,"When it 's this rich and luscious , who cares ?",3
5360,214,A singularly off-putting romantic comedy .,1
5367,215,Director Boris von Sychowski instead opts for a routine slasher film that was probably more fun to make than it is to sit through .,2
5399,216,"Would 've been nice if the screenwriters had trusted audiences to understand a complex story , and left off the film 's predictable denouement .",0
5429,217,"A superfluous sequel ... plagued by that old familiar feeling of ` let 's get this thing over with ' : Everyone has shown up at the appointed time and place , but visible enthusiasm is mighty hard to find .",1
5480,218,"An earnest , roughshod document , it serves as a workable primer for the region 's recent history , and would make a terrific 10th-grade learning tool .",3
5517,219,Cloaks a familiar anti-feminist equation -LRB- career - kids = misery -RRB- in tiresome romantic-comedy duds .,1
5542,220,A film that plays things so nice 'n safe as to often play like a milquetoast movie of the week blown up for the big screen .,1
5569,221,His work transcends the boy-meets-girl posturing of typical love stories .,3
5584,222,"An even more predictable , cliche-ridden endeavor than its predecessor .",1
5597,223,Plays like a bad blend of an overripe episode of TV 's Dawson 's Creek and a recycled and dumbed-down version of Love Story .,0
5627,224,"The script covers huge , heavy topics in a bland , surfacey way that does n't offer any insight into why , for instance , good things happen to bad people .",1
5665,225,The film is so bad it does n't improve upon the experience of staring at a blank screen .,0
5683,226,They threw loads of money at an idea that should 've been so much more even if it was only made for teenage boys and wrestling fans .,1
5717,227,"It 's difficult to imagine that a more confused , less interesting and more sloppily made film could possibly come down the road in 2002 .",0
5749,228,"Though the film is well-intentioned , one could rent the original and get the same love story and parable .",3
5768,229,"Jolting into Charleston rhythms , the story has the sizzle of old news that has finally found the right vent -LRB- accurate ?",2
5796,230,Or both .,2
5798,231,"Williams plays Sy , another of his open-faced , smiling madmen , like the killer in Insomnia .",2
5821,232,Phoned-in business as usual .,1
5827,233,"With its lackadaisical plotting and mindless action , All About the Benjamins evokes the bottom tier of blaxploitation flicks from the 1970s .",1
5857,234,"Ah , yes , that would be me : fighting off the urge to doze .",0
5877,235,"Thoughtless , random , superficial humour and a lot of very bad Scouse accents",0
5894,236,"In an era where big stars and high production values are standard procedure , Narc strikes a defiantly retro chord , and outpaces its contemporaries with daring and verve .",3
5935,237,A rip-roaring comedy action fest that 'll put hairs on your chest .,3
5953,238,... a thoughtful what-if for the heart as well as the mind .,4
5964,239,Miyazaki is one of world cinema 's most wondrously gifted artists and storytellers .,4
5982,240,"A chronicle not only of one man 's quest to be president , but of how that man single-handedly turned a plane full of hard-bitten , cynical journalists into what was essentially , by campaign 's end , an extended publicity department .",3
6037,241,"Provides the kind of ` laugh therapy ' I need from movie comedies -- offbeat humor , amusing characters , and a happy ending .",4
6067,242,Feels strangely hollow at its emotional core .,0
6077,243,"At a time when commercialism has squeezed the life out of whatever idealism American moviemaking ever had , Godfrey Reggio 's career shines like a lonely beacon .",3
6112,244,Director Roger Michell does so many of the little things right that it 's difficult not to cuss him out severely for bungling the big stuff .,2
6143,245,Robert Harmon 's less-is-more approach delivers real bump-in - the-night chills -- his greatest triumph is keeping the creepy crawlies hidden in the film 's thick shadows .,3
6180,246,"This movie may not have the highest production values you 've ever seen , but it 's the work of an artist , one whose view of America , history and the awkwardness of human life is generous and deep .",4
6221,247,Feral and uncomfortable .,1
6226,248,"Sillier , cuter , and shorter than the first -LRB- as best I remember -RRB- , but still a very good time at the cinema .",4
6254,249,"It 's more enjoyable than I expected , though , and that 's because the laughs come from fairly basic comedic constructs .",3
6282,250,Black-and-white and unrealistic .,0
6287,251,The film is predictable in the reassuring manner of a beautifully sung holiday carol .,3
6305,252,"The only camouflage Carvey should now be considering is a paper bag to wear over his head when he goes out into public , to avoid being recognized as the man who bilked unsuspecting moviegoers .",0
6352,253,"Not about scares but a mood in which an ominous , pervasive , and unknown threat lurks just below the proceedings and adds an almost constant mindset of suspense .",3
6391,254,"Some of the computer animation is handsome , and various amusing sidekicks add much-needed levity to the otherwise bleak tale , but overall the film never rises above mediocrity .",1
6431,255,Offers the flash of rock videos fused with solid performances and eerie atmosphere .,4
6449,256,"A breezy blend of art , history , esoteric musings and philosophy .",3
6465,257,"Now as a former Gong Show addict , I 'll admit it , my only complaint is that we did n't get more re-creations of all those famous moments from the show .",3
6503,258,Genuinely unnerving .,3
6507,259,"The increasingly diverse French director has created a film that one can honestly describe as looking , sounding and simply feeling like no other film in recent history .",4
6536,260,One of those joyous films that leaps over national boundaries and celebrates universal human nature .,3
6557,261,A difficult but worthy film that bites off more than it can chew by linking the massacre of Armenians in 1915 with some difficult relationships in the present .,2
6593,262,"Halfway through the movie , the humor dwindles .",1
6602,263,"Witty and often surprising , a dark little morality tale disguised as a romantic comedy .",4
6620,264,"One senses in World Traveler and in his earlier film that Freundlich bears a grievous but obscure complaint against fathers , and circles it obsessively , without making contact .",1
6660,265,"In fact , even better .",3
6666,266,... a preachy parable stylized with a touch of John Woo bullet ballet .,2
6684,267,Proves that some movie formulas do n't need messing with -- like the big-bug movie .,2
6701,268,"An uplifting , largely bogus story .",2
6708,269,"Thanks to confident filmmaking and a pair of fascinating performances , the way to that destination is a really special walk in the woods .",4
6738,270,Superbly photographed and staged by Mendes with a series of riveting set pieces the likes of which mainstream audiences have rarely seen .,4
6766,271,A mesmerizing cinematic poem from the first frame to the last .,4
6779,272,"After the first 10 minutes , which is worth seeing",3
6795,273,It has become apparent that the franchise 's best years are long past .,1
6813,274,"Screenwriter Chris ver Weil 's directing debut is good-natured and never dull , but its virtues are small and easily overshadowed by its predictability .",2
6847,275,"Too much of Storytelling moves away from Solondz 's social critique , casting its audience as that of intellectual lector in contemplation of the auteur 's professional injuries .",1
6886,276,"Ultimately , Sarah 's dedication to finding her husband seems more psychotic than romantic , and nothing in the movie makes a convincing case that one woman 's broken heart outweighs all the loss we witness .",1
6930,277,"The jokes are flat , and the action looks fake .",0
6942,278,A mildly enjoyable if toothless adaptation of a much better book .,2
6956,279,Festers in just such a dungpile that you 'd swear you were watching monkeys flinging their feces at you .,0
6981,280,"In addition to the overcooked , ham-fisted direction , which has all the actors reaching for the back row , the dialogue sounds like horrible poetry .",0
7014,281,"A vile , incoherent mess ... a scummy ripoff of David Cronenberg 's brilliant ` Videodrome . '",0
7037,282,"First , for a movie that tries to be smart , it 's kinda dumb .",1
7053,283,I was sent a copyof this film to review on DVD .,2
7067,284,... silly humbuggery ...,1
7071,285,"Is n't as sharp as the original ... Despite some visual virtues , ` Blade II ' just does n't cut it .",1
7092,286,"A smart , arch and rather cold-blooded comedy .",3
7102,287,-LRB- A -RRB- rather thinly-conceived movie .,0
7109,288,"Its flame-like , roiling black-and-white inspires trembling and gratitude .",3
7123,289,Robinson 's web of suspense matches the page-turning frenzy that Clancy creates .,4
7141,290,A slight but sweet film .,3
7146,291,Got a David Lynch jones ?,2
7153,292,Earnest and tentative even when it aims to shock .,2
7163,293,Time of Favor could have given audiences the time of day by concentrating on the elements of a revealing alienation among a culture of people who sadly are at hostile odds with one another through recklessness and retaliation .,1
7213,294,`` Austin Powers in Goldmember '' has the right stuff for silly summer entertainment and has enough laughs to sustain interest to the end .,4
7242,295,What puzzles me is the lack of emphasis on music in Britney Spears ' first movie .,2
7262,296,The filmmakers might want to look it up .,2
7269,297,"While maintaining the appearance of clinical objectivity , this sad , occasionally horrifying but often inspiring film is among Wiseman 's warmest .",4
7298,298,There is simply no doubt that this film asks the right questions at the right time in the history of our country .,4
7323,299,A dreary movie .,0
7327,300,"Sadly , though many of the actors throw off a spark or two when they first appear , they ca n't generate enough heat in this cold vacuum of a comedy to start a reaction .",1
7369,301,"To the filmmakers , Ivan is a prince of a fellow , but he comes across as shallow and glib though not mean-spirited , and there 's no indication that he 's been responsible for putting together any movies of particular value or merit .",1
7422,302,"Using a stock plot , About a Boy injects just enough freshness into the proceedings to provide an enjoyable 100 minutes in a movie theater .",3
7452,303,"Beating the Austin Powers films at their own game , this blaxploitation spoof downplays the raunch in favor of gags that rely on the strength of their own cleverness as opposed to the extent of their outrageousness .",3
7500,304,What begins as a conventional thriller evolves into a gorgeously atmospheric meditation on life-changing chance encounters .,3
7524,305,Buy popcorn .,2
7528,306,A late-night cable sexploitation romp masquerading as a thriller about the ruthless social order that governs college cliques .,2
7555,307,A well-intentioned effort that 's still too burdened by the actor 's offbeat sensibilities for the earnest emotional core to emerge with any degree of accessibility .,1
7584,308,"-LRB- Allen 's -RRB- been making piffle for a long while , and Hollywood Ending may be his way of saying that piffle is all that the airhead movie business deserves from him right now .",2
7624,309,"Seeing as the film lacks momentum and its position remains mostly undeterminable , the director 's experiment is a successful one .",3
7648,310,Judith and Zaza 's extended bedroom sequence ... is so intimate and sensual and funny and psychologically self-revealing that it makes most of what passes for sex in the movies look like cheap hysterics .,4
7690,311,Uneven performances and a spotty script add up to a biting satire that has no teeth .,1
7708,312,... irritating soul-searching garbage .,0
7715,313,"A solid , spooky entertainment worthy of the price of a ticket .",3
7729,314,"Ultimately , clarity matters , both in breaking codes and making movies .",2
7745,315,In comparison to his earlier films it seems a disappointingly thin slice of lower-class London life ; despite the title ... amounts to surprisingly little .,0
7774,316,Proves mainly that South Korean filmmakers can make undemanding action movies with all the alacrity of their Hollywood counterparts .,2
7799,317,"Except it 's much , much better .",4
7806,318,"It is a happy , heady jumble of thought and storytelling , an insane comic undertaking that ultimately coheres into a sane and breathtakingly creative film .",4
7840,319,There is more than one joke about putting the toilet seat down .,2
7855,320,has -RRB-,2
7883,321,So original in its base concept that you can not help but get caught up .,4
